,model_version_id,covariate_id,covariate_name_short,location_id,location_name,year_id,age_group_id,age_group_name,sex_id,sex,mean_value,lower_value,upper_value
151,34911,13,ASFR,190,Uganda,2019,14,45 to 49,2,Female,0.012387837213036,0.009157115482784191,0.0161583187243113
152,34911,13,ASFR,190,Uganda,2019,15,50 to 54,2,Female,0.000420034259586367,0.00040538173353764904,0.000434304867913611
153,34911,13,ASFR,196,South Africa,2019,7,10 to 14,2,Female,0.000749845398622704,0.000334104869098903,0.00154690774031485
154,34911,13,ASFR,196,South Africa,2019,8,15 to 19,2,Female,0.0477370815983409,0.0397608334603517,0.0580195318997837
155,34911,13,ASFR,196,South Africa,2019,9,20 to 24,2,Female,0.10067262372995,0.0819094428696155,0.12448899087824901
156,34911,13,ASFR,196,South Africa,2019,10,25 to 29,2,Female,0.12804212565188802,0.11435422335242401,0.142519124445734
157,34911,13,ASFR,196,South Africa,2019,11,30 to 34,2,Female,0.0835995104493446,0.0718139251305924,0.0965081564065632
158,34911,13,ASFR,196,South Africa,2019,12,35 to 39,2,Female,0.0511103433649214,0.040309128115113994,0.0635505528082183
159,34911,13,ASFR,196,South Africa,2019,13,40 to 44,2,Female,0.0199596747831439,0.0152568109077147,0.0255519926235028
160,34911,13,ASFR,196,South Africa,2019,14,45 to 49,2,Female,0.00177812221332609,0.0010309359630452,0.00285826227861484
161,34911,13,ASFR,196,South Africa,2019,15,50 to 54,2,Female,6.02907702518521e-05,5.81875797109602e-05,6.233914118440239e-05
162,34911,13,ASFR,201,Burkina Faso,2019,7,10 to 14,2,Female,0.00205164500937315,0.0009071342264582961,0.0042958566210317
163,34911,13,ASFR,201,Burkina Faso,2019,8,15 to 19,2,Female,0.11119098715467,0.0975762552633971,0.12746728215807698
164,34911,13,ASFR,201,Burkina Faso,2019,9,20 to 24,2,Female,0.24465945084474103,0.223666878727212,0.267396228192847
165,34911,13,ASFR,201,Burkina Faso,2019,10,25 to 29,2,Female,0.253281870030362,0.23972828570051502,0.268217627265727
166,34911,13,ASFR,201,Burkina Faso,2019,11,30 to 34,2,Female,0.21953000209707801,0.20414642022538398,0.236616313736474
167,34911,13,ASFR,201,Burkina Faso,2019,12,35 to 39,2,Female,0.167406933847244,0.151332685135174,0.182862780848528
168,34911,13,ASFR,201,Burkina Faso,2019,13,40 to 44,2,Female,0.0857235759713973,0.0757472320678096,0.0954425143879735
169,34911,13,ASFR,201,Burkina Faso,2019,14,45 to 49,2,Female,0.0264241934001036,0.0195532918282655,0.0333083624200559
170,34911,13,ASFR,201,Burkina Faso,2019,15,50 to 54,2,Female,0.000895964833821007,0.000864709887904868,0.00092640512036105
171,34911,13,ASFR,202,Cameroon,2019,7,10 to 14,2,Female,0.00170961113007222,0.000760645413899147,0.0035607275166658204
172,34911,13,ASFR,202,Cameroon,2019,8,15 to 19,2,Female,0.0818573762004881,0.0705050585585117,0.0958648591672138
173,34911,13,ASFR,202,Cameroon,2019,9,20 to 24,2,Female,0.178593077447714,0.15520482348856,0.205710528874887
174,34911,13,ASFR,202,Cameroon,2019,10,25 to 29,2,Female,0.17635271187675197,0.161401268744551,0.19368951278951702
175,34911,13,ASFR,202,Cameroon,2019,11,30 to 34,2,Female,0.169901543771375,0.15354176014188198,0.18882152948028602
176,34911,13,ASFR,202,Cameroon,2019,12,35 to 39,2,Female,0.10608775917528199,0.0898628223134783,0.125446077356281
177,34911,13,ASFR,202,Cameroon,2019,13,40 to 44,2,Female,0.0365734957988552,0.0291285238647786,0.0461503392822285
178,34911,13,ASFR,202,Cameroon,2019,14,45 to 49,2,Female,0.0106141977297762,0.0066422367703417,0.0156910735594235
179,34911,13,ASFR,202,Cameroon,2019,15,50 to 54,2,Female,0.000359895485213371,0.000347340847462875,0.000372122886647914
180,34911,13,ASFR,205,Côte d'Ivoire,2019,7,10 to 14,2,Female,0.00275512923259646,0.00122073193966126,0.0057613242884931
181,34911,13,ASFR,205,Côte d'Ivoire,2019,8,15 to 19,2,Female,0.10277806408100999,0.0905412378441666,0.117494280406099
182,34911,13,ASFR,205,Côte d'Ivoire,2019,9,20 to 24,2,Female,0.202779991204189,0.179604537929,0.228966841835087
183,34911,13,ASFR,205,Côte d'Ivoire,2019,10,25 to 29,2,Female,0.19507820522407895,0.17959711822106303,0.212802496056668
184,34911,13,ASFR,205,Côte d'Ivoire,2019,11,30 to 34,2,Female,0.172065741024746,0.155501614314899,0.191187640325611
185,34911,13,ASFR,205,Côte d'Ivoire,2019,12,35 to 39,2,Female,0.12151905825990099,0.104291095928759,0.139255356737707
