location_name,nutrient,vehicle,coverage_level,measure,value,lower,upper
Myanmar,Vitamin A,Oil,0.8,counts_averted,280.75651562035176,-18.258368550448193,898.8845135465778
Myanmar,Vitamin A,Oil,0.8,rates_averted,5.594241234975299,-0.36380889683932705,17.91081072527195
Myanmar,Vitamin A,Oil,0.2,rates_averted,1.3985603087438248,-0.09095222420983176,4.477702681317988
Myanmar,Vitamin A,Oil,0.5,rates_averted,3.496400771859562,-0.2273805605245794,11.194256703294966
Myanmar,Vitamin A,Oil,0.8,pif,2.933322581896662,-0.1869441992015698,7.509844911094138
Myanmar,Vitamin A,Oil,0.2,pif,0.7333306454741655,-0.046736049800392414,1.877461227773535
Myanmar,Vitamin A,Oil,0.5,pif,1.8333266136854136,-0.11684012450098114,4.693653069433837
Myanmar,Zinc,Wheat flour,0.5,counts_averted,3.1785129598802215,0.07366933557984791,10.419404771048363
Myanmar,Zinc,Wheat flour,0.2,counts_averted,1.2714051839520886,0.029467734231939168,4.167761908419345
Myanmar,Zinc,Wheat flour,0.8,counts_averted,5.085620735808354,0.11787093692775667,16.67104763367738
Myanmar,Zinc,Wheat flour,0.8,rates_averted,0.101334030175014,0.0023486488080586144,0.3321805796616564
Myanmar,Zinc,Wheat flour,0.2,rates_averted,0.0253335075437535,0.0005871622020146536,0.0830451449154141
Myanmar,Zinc,Wheat flour,0.5,rates_averted,0.06333376885938374,0.0014679055050366343,0.2076128622885354
Myanmar,Zinc,Wheat flour,0.8,pif,1.463066868049148,0.7220318769737117,2.099205018156316
Myanmar,Zinc,Wheat flour,0.2,pif,0.36576671701228697,0.18050796924342793,0.5248012545390789
Myanmar,Zinc,Wheat flour,0.5,pif,0.9144167925307176,0.4512699231085697,1.312003136347697
Nepal,Folic acid,Wheat flour,0.5,counts_averted,1152.9704379997381,302.21146720778177,3039.265250098682
Nepal,Folic acid,Wheat flour,0.8,counts_averted,1844.7527007995811,483.5383475324507,4862.824400157892
Nepal,Folic acid,Wheat flour,0.2,counts_averted,461.1881751998953,120.88458688311268,1215.706100039473
Nepal,Folic acid,Wheat flour,0.5,rates_averted,38.48407462492001,10.087273943214042,101.44519480711126
Nepal,Folic acid,Wheat flour,0.2,rates_averted,15.393629849968004,4.034909577285615,40.57807792284452
Nepal,Folic acid,Wheat flour,0.8,rates_averted,61.57451939987202,16.13963830914246,162.31231169137808
Nepal,Folic acid,Wheat flour,0.8,pif,11.950792215226254,4.263703190317487,20.11816517625808
Nepal,Folic acid,Wheat flour,0.2,pif,2.9876980538065636,1.0659257975793717,5.02954129406452
Nepal,Folic acid,Wheat flour,0.5,pif,7.4692451345164095,2.6648144939484286,12.5738532351613
Nepal,Iron,Wheat flour,0.5,counts_averted,7142.590326030573,84.27490955963258,16560.674139325543
Nepal,Iron,Wheat flour,0.8,counts_averted,11269.480332385361,134.82637944956707,25839.494737615383
Nepal,Iron,Wheat flour,0.2,counts_averted,2896.9996690758994,33.71333289713551,6771.545686270418
Nepal,Iron,Wheat flour,0.5,rates_averted,101.40658898601335,1.1636807211808031,237.71725029504455
Nepal,Iron,Wheat flour,0.2,rates_averted,41.11811755271387,0.46552013269621667,96.94430010648406
Nepal,Iron,Wheat flour,0.8,rates_averted,160.04108301498113,1.8616977817956464,372.0009299344147
Nepal,Iron,Wheat flour,0.8,pif,15.24917957621221,0.1797433343286068,37.68233226125623
Nepal,Iron,Wheat flour,0.2,pif,3.9196661886454187,0.04494504382362207,9.781754859388776
Nepal,Iron,Wheat flour,0.5,pif,9.664519258484416,0.1123510966085747,23.99894328465146
Nepal,Vitamin A,Oil,0.5,counts_averted,546.8892558417862,-33.45681134050381,1503.723414101151
Nepal,Vitamin A,Oil,0.8,counts_averted,875.0228093468578,-53.530898144806095,2405.957462561842
Nepal,Vitamin A,Oil,0.2,counts_averted,218.75570233671445,-13.382724536201524,601.4893656404605
Nepal,Vitamin A,Oil,0.5,rates_averted,18.254177418369373,-1.1167280460144033,50.19157662351211
Nepal,Vitamin A,Oil,0.2,rates_averted,7.30167096734775,-0.4466912184057613,20.076630649404848
Nepal,Vitamin A,Oil,0.8,rates_averted,29.206683869391,-1.7867648736230453,80.30652259761939
Nepal,Vitamin A,Oil,0.8,pif,22.84994094853913,-1.8114524976022275,45.292227017920915
Nepal,Vitamin A,Oil,0.2,pif,5.712485237134782,-0.45286312440055687,11.323056754480229
Nepal,Vitamin A,Oil,0.5,pif,14.281213092836957,-1.1321578110013921,28.307641886200567
Nepal,Zinc,Wheat flour,0.5,counts_averted,14.49378620839229,0.0,57.017537470123585
Nepal,Zinc,Wheat flour,0.8,counts_averted,23.190057933427667,0.0,91.22805995219775
Nepal,Zinc,Wheat flour,0.2,counts_averted,5.797514483356917,0.0,22.80701498804944
Nepal,Zinc,Wheat flour,0.2,rates_averted,0.19351058159273704,0.0,0.7612570434108242
Nepal,Zinc,Wheat flour,0.5,rates_averted,0.4837764539818426,0.0,1.9031426085270602
Nepal,Zinc,Wheat flour,0.8,rates_averted,0.7740423263709482,0.0,3.045028173643297
Nepal,Zinc,Wheat flour,0.8,pif,18.249806443895615,7.397792461469451,31.016153398581746
Nepal,Zinc,Wheat flour,0.2,pif,4.562451610973904,1.8494481153673628,7.754038349645437
Nepal,Zinc,Wheat flour,0.5,pif,11.406129027434758,4.623620288418406,19.385095874113585
Nigeria,Folic acid,Wheat flour,0.2,counts_averted,43861.73760024111,20830.9574098306,84752.40690269649
