,location_name,vehicle,nutrient,value_description,n_data_points,mean_mean,value_means
1202,Uganda,wheat flour,zinc,percent of population eating fortified vehicle,2,9.85,"[8.5, 11.2]"
1218,United Republic of Tanzania,maize flour,folic acid,percent of population eating fortified vehicle,2,2.5,"[2.5, 2.5]"
1219,United Republic of Tanzania,maize flour,iron,percent of population eating fortified vehicle,2,2.5,"[2.5, 2.5]"
1220,United Republic of Tanzania,maize flour,vitamin a,percent of population eating fortified vehicle,1,2.5,[2.5]
1221,United Republic of Tanzania,maize flour,vitamin b1,percent of population eating fortified vehicle,1,2.5,[2.5]
1222,United Republic of Tanzania,maize flour,vitamin b12,percent of population eating fortified vehicle,2,2.5,"[2.5, 2.5]"
1223,United Republic of Tanzania,maize flour,zinc,percent of population eating fortified vehicle,2,2.5,"[2.5, 2.5]"
1235,United Republic of Tanzania,oil,vitamin a,percent of population eating fortified vehicle,2,53.6,"[53.6, 53.6]"
1236,United Republic of Tanzania,oil,vitamin d,percent of population eating fortified vehicle,1,0.0,[0.0]
1248,United Republic of Tanzania,wheat flour,folic acid,percent of population eating fortified vehicle,2,33.1,"[33.1, 33.1]"
1249,United Republic of Tanzania,wheat flour,iron,percent of population eating fortified vehicle,2,33.1,"[33.1, 33.1]"
1250,United Republic of Tanzania,wheat flour,vitamin a,percent of population eating fortified vehicle,2,33.1,"[33.1, 33.1]"
1251,United Republic of Tanzania,wheat flour,vitamin b1,percent of population eating fortified vehicle,2,33.1,"[33.1, 33.1]"
1252,United Republic of Tanzania,wheat flour,vitamin b12,percent of population eating fortified vehicle,2,33.1,"[33.1, 33.1]"
1253,United Republic of Tanzania,wheat flour,zinc,percent of population eating fortified vehicle,2,33.1,"[33.1, 33.1]"
1265,Vietnam,oil,vitamin a,percent of population eating fortified vehicle,0,,[nan]
1266,Vietnam,oil,vitamin d,percent of population eating fortified vehicle,0,,[nan]
1278,Vietnam,wheat flour,folic acid,percent of population eating fortified vehicle,0,,[nan]
1279,Vietnam,wheat flour,iron,percent of population eating fortified vehicle,0,,[nan]
1280,Vietnam,wheat flour,vitamin a,percent of population eating fortified vehicle,0,,[nan]
1281,Vietnam,wheat flour,vitamin b1,percent of population eating fortified vehicle,0,,[nan]
1282,Vietnam,wheat flour,vitamin b12,percent of population eating fortified vehicle,0,,[nan]
1283,Vietnam,wheat flour,zinc,percent of population eating fortified vehicle,0,,[nan]
